model,fold_index,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro
k-nearest neighbours,24,0.8863636363636364,0.8866556697542615,0.886906060990568,0.8866556697542615,0.8863383931877081
RBF support vector machine,0,0.8727272727272727,0.8726226226226227,0.8870192307692308,0.8726226226226227,0.8745196356283956
RBF support vector machine,1,0.9,0.8996496496496497,0.9029193029193029,0.8996496496496497,0.9001695276039957
RBF support vector machine,2,0.8409090909090909,0.8410679857940132,0.8448773448773449,0.8410679857940132,0.8421713704551234
RBF support vector machine,3,0.8863636363636364,0.8860246161654612,0.8931409895265316,0.8860246161654612,0.8875319465596823
RBF support vector machine,4,0.8772727272727273,0.8770756672165123,0.8806046256578982,0.8770756672165123,0.8778018187719153
RBF support vector machine,5,0.8681818181818182,0.8677427427427427,0.886127229744251,0.8677427427427427,0.8694083694083693
RBF support vector machine,6,0.8681818181818182,0.8686186186186187,0.8696185737976783,0.8686186186186187,0.8680953904518134
RBF support vector machine,7,0.9,0.9002587519025874,0.9026258818735196,0.9002587519025874,0.9007027021538024
RBF support vector machine,8,0.8545454545454545,0.8528604660999027,0.8800825109800247,0.8528604660999027,0.856682732051222
RBF support vector machine,9,0.8818181818181818,0.8812798714207165,0.8876596045270744,0.8812798714207165,0.8826250206374899
RBF support vector machine,10,0.8818181818181818,0.8812562562562563,0.8882479929838764,0.8812562562562563,0.8819023364863772
RBF support vector machine,11,0.8318181818181818,0.8314564564564564,0.8474468534050746,0.8314564564564564,0.8346949503496996
RBF support vector machine,12,0.8818181818181818,0.8819837645865043,0.8847529347529348,0.8819837645865043,0.8821666720703779
RBF support vector machine,13,0.8909090909090909,0.8911703252548323,0.8925961597260441,0.8911703252548323,0.8915673367728162
RBF support vector machine,14,0.8818181818181818,0.8817104428372033,0.8846562793931215,0.8817104428372033,0.8825675757043792
RBF support vector machine,15,0.8727272727272727,0.8726226226226226,0.8796642047642624,0.8726226226226226,0.874136915912862
RBF support vector machine,16,0.8636363636363636,0.8632382382382383,0.8701945207321552,0.8632382382382383,0.8643790234896868
RBF support vector machine,17,0.9045454545454545,0.9040309487569761,0.9127883974679327,0.9040309487569761,0.9053280645142735
RBF support vector machine,18,0.8727272727272727,0.8721405912955209,0.8779663644113772,0.8721405912955209,0.8731770966260018
RBF support vector machine,19,0.8727272727272727,0.8721304402994544,0.8804763808762209,0.8721304402994544,0.8737782685151106
RBF support vector machine,20,0.8545454545454545,0.8542292292292292,0.8698616198616199,0.8542292292292292,0.8562362425989596
RBF support vector machine,21,0.8636363636363636,0.8634884884884885,0.8682832592287988,0.8634884884884885,0.8643409076151517
RBF support vector machine,22,0.8818181818181818,0.8824124809741248,0.8910102240546394,0.8824124809741248,0.8828976034858388
RBF support vector machine,23,0.8863636363636364,0.8865355496341412,0.8886633550593811,0.8865355496341412,0.8872471596007053
RBF support vector machine,24,0.8954545454545455,0.8948534449942901,0.9002946127946126,0.8948534449942901,0.8960625201274125
Decision tree,0,0.8727272727272727,0.8729979979979979,0.8800260880367716,0.8729979979979979,0.8732352261764026
Decision tree,1,0.8818181818181818,0.8817567567567567,0.8833849329205367,0.8817567567567567,0.8822222222222221
Decision tree,2,0.8409090909090909,0.8410730593607306,0.8409823275147158,0.8410730593607306,0.8409490159261797
Decision tree,3,0.8954545454545455,0.8951638962906568,0.8951451451451451,0.8951638962906568,0.895126881704063
Decision tree,4,0.9045454545454545,0.9046136277122193,0.9100627960968756,0.9046136277122193,0.9058945823651706
Decision tree,5,0.8818181818181818,0.8815065065065065,0.8887660521955262,0.8815065065065065,0.8825806575069844
Decision tree,6,0.8818181818181818,0.8820070070070068,0.8829902491874323,0.8820070070070068,0.8821591596546225
Decision tree,7,0.9,0.9003805175038052,0.9017043111742337,0.9003805175038052,0.9001799413023437
Decision tree,8,0.8636363636363636,0.8630613712303853,0.8651246643651707,0.8630613712303853,0.8635013804758574
Decision tree,9,0.8818181818181818,0.8813399314807766,0.8827380952380953,0.8813399314807766,0.8814865654948015
Decision tree,10,0.8818181818181818,0.8816316316316316,0.8817719975614713,0.8816316316316316,0.8815903227170833
Decision tree,11,0.8909090909090909,0.8905155155155154,0.8911696799932094,0.8905155155155154,0.8904732273815344
Decision tree,12,0.8909090909090909,0.8902638254693049,0.8934158659768415,0.8902638254693049,0.8906582802017251
Decision tree,13,0.9045454545454545,0.904433447532039,0.9044834307992202,0.904433447532039,0.9043739229714011
Decision tree,14,0.9181818181818182,0.9178869009854925,0.9192088956794838,0.9178869009854925,0.9182862981138268
Decision tree,15,0.8681818181818182,0.8687437437437437,0.8701784288434372,0.8687437437437437,0.8677024616640918
Decision tree,16,0.9,0.900025025025025,0.9018886342415754,0.900025025025025,0.9001696502995689
Decision tree,17,0.9181818181818182,0.9178564180618975,0.920296078190815,0.9178564180618975,0.9178168458610595
Decision tree,18,0.8818181818181818,0.8811496003045299,0.8828111156546038,0.8811496003045299,0.8814138465110215
Decision tree,19,0.8636363636363636,0.863682273823119,0.863411973617453,0.863682273823119,0.8634680815888869
Decision tree,20,0.8272727272727273,0.8275775775775777,0.8273478958410466,0.8275775775775777,0.8274365850720531
Decision tree,21,0.8909090909090909,0.8908908908908909,0.8909525405255373,0.8908908908908909,0.8908399536970966
Decision tree,22,0.8863636363636364,0.886613394216134,0.891094642851029,0.886613394216134,0.8868945868945869
Decision tree,23,0.8909090909090909,0.891851287907626,0.8969535430725459,0.891851287907626,0.8915691116395341
Decision tree,24,0.8909090909090909,0.8911601742587658,0.8914105654950726,0.8911601742587658,0.8908428976922127
Random forest,0,0.8772727272727273,0.8773773773773774,0.8900284900284899,0.8773773773773774,0.8789619897459281
Random forest,1,0.8909090909090909,0.8907657657657658,0.892949810074712,0.8907657657657658,0.8912973462289772
Random forest,2,0.8409090909090909,0.8411314053779808,0.8416179337231969,0.8411314053779808,0.8411468241286074
Random forest,3,0.8636363636363636,0.8634919426468722,0.8649916684112792,0.8634919426468722,0.8636732649159914
Random forest,4,0.8772727272727273,0.8771357272765723,0.8779669762641898,0.8771357272765723,0.8773488758661944
Random forest,5,0.8636363636363636,0.8633633633633634,0.8711640211640211,0.8633633633633634,0.8645166231105751
Random forest,6,0.8681818181818182,0.8684934934934935,0.8701693043798308,0.8684934934934935,0.8679807627176048
Random forest,7,0.9090909090909091,0.9091476407914764,0.9105022831050228,0.9091476407914764,0.9094987945692171
Random forest,8,0.8727272727272727,0.8712591464704141,0.8780083803793977,0.8712591464704141,0.8716087225403996
Random forest,9,0.8818181818181818,0.8815801717210169,0.885042735042735,0.8815801717210169,0.8822807911043204
Random forest,10,0.8727272727272727,0.8722472472472472,0.8770924224140598,0.8722472472472472,0.8727200318598168
Random forest,11,0.8409090909090909,0.8405905905905905,0.8519499147896897,0.8405905905905905,0.8427658239110721
Random forest,12,0.8772727272727273,0.8775443937087773,0.8777946457886951,0.8775443937087773,0.8773180569777628
Random forest,13,0.9090909090909091,0.9091282832127904,0.9094211735056805,0.9091282832127904,0.9091657612098935
Random forest,14,0.9045454545454545,0.9041128452396058,0.9062049062049061,0.9041128452396058,0.9045845386415232
Random forest,15,0.8727272727272727,0.8728728728728729,0.8763617369263835,0.8728728728728729,0.8729047729026732
Random forest,16,0.8818181818181818,0.8813813813813813,0.8883440998136338,0.8813813813813813,0.8824852452116687
Random forest,17,0.9090909090909091,0.9087189244038559,0.9109526365565013,0.9087189244038559,0.9091157069880474
Random forest,18,0.8727272727272727,0.8722006513555809,0.8780030611016527,0.8722006513555809,0.8734858246052705
Random forest,19,0.8636363636363636,0.863802393943239,0.8638230937218431,0.863802393943239,0.8630604288499025
Random forest,20,0.85,0.849974974974975,0.8556998556998557,0.849974974974975,0.8509447807741699
Random forest,21,0.8818181818181818,0.8815065065065065,0.8861293859649123,0.8815065065065065,0.8822807911043204
Random forest,22,0.8954545454545455,0.895560629122273,0.8980008097207488,0.895560629122273,0.8953400040356563
Random forest,23,0.8954545454545455,0.8956646787632704,0.8956473762062885,0.8956646787632704,0.895322171486555
Random forest,24,0.8954545454545455,0.8951038362305966,0.8995859106970218,0.8951038362305966,0.8963216610275433
Extra Trees,0,0.8909090909090909,0.8910160160160161,0.9000668449197861,0.8910160160160161,0.8915599519464253
Extra Trees,1,0.8954545454545455,0.8951451451451451,0.8968942492464125,0.8951451451451451,0.8953130023802897
Extra Trees,2,0.8590909090909091,0.8593378995433789,0.8606636155606407,0.8593378995433789,0.8597515350564043
Extra Trees,3,0.8772727272727273,0.8768853360402656,0.8809210526315789,0.8768853360402656,0.8776443081078842
Extra Trees,4,0.8818181818181818,0.8817705028972634,0.8839509261765072,0.8817705028972634,0.8822836465260812
Extra Trees,5,0.8636363636363636,0.8632382382382383,0.8696818148872945,0.8632382382382383,0.8639921416292724
Extra Trees,6,0.8772727272727273,0.8775025025025025,0.87949331370384,0.8775025025025025,0.8771286323917904
Extra Trees,7,0.8954545454545455,0.895814307458143,0.8960078664730512,0.895814307458143,0.8955539422529243
Extra Trees,8,0.8681818181818182,0.8668849130820963,0.882671239096411,0.8668849130820963,0.8688311688311687
Extra Trees,9,0.8818181818181818,0.8814600516008966,0.8862326360348511,0.8814600516008966,0.8826759163704468
Extra Trees,10,0.8772727272727273,0.8767517517517517,0.8801449736971888,0.8767517517517517,0.8770181361727915
Extra Trees,11,0.85,0.8497247247247247,0.8574660633484162,0.8497247247247247,0.8513079771687401
Extra Trees,12,0.8636363636363636,0.863718924403856,0.863718924403856,0.863718924403856,0.8636136136136137
Extra Trees,13,0.9090909090909091,0.9089980120966037,0.9089980120966037,0.9089980120966037,0.9089980120966037
Extra Trees,14,0.8909090909090909,0.8906593917861523,0.8940997815997815,0.8906593917861523,0.8915227394137893
Extra Trees,15,0.8636363636363636,0.8637387387387387,0.8675417783666637,0.8637387387387387,0.8640635428417275
Extra Trees,16,0.8772727272727273,0.8768768768768768,0.8789412342043921,0.8768768768768768,0.8771065344520723
Extra Trees,17,0.9136363636363637,0.9133485540334855,0.9156455282059147,0.9133485540334855,0.9137474419164561
Extra Trees,18,0.8727272727272727,0.8724510425918877,0.8751680597091225,0.8724510425918877,0.8730972730972731
Extra Trees,19,0.8636363636363636,0.8635520027069323,0.8654471004190235,0.8635520027069323,0.8632075481689293
Extra Trees,20,0.8454545454545455,0.8453453453453453,0.85128721044214,0.8453453453453453,0.8463138845434531
Extra Trees,21,0.85,0.8498498498498499,0.8579038921504676,0.8498498498498499,0.8514212998842293
Extra Trees,22,0.8909090909090909,0.8914865550481988,0.8943668964006067,0.8914865550481988,0.8909442409442409
Extra Trees,23,0.8818181818181818,0.8822112253098169,0.882180610700976,0.8822112253098169,0.881867072552004
Extra Trees,24,0.8954545454545455,0.8947231738781034,0.8979700854700855,0.8947231738781034,0.895224171539961
Gradient boosting,0,0.9045454545454545,0.9046546546546547,0.9059617935158761,0.9046546546546547,0.9041484639849019
Gradient boosting,1,0.8954545454545455,0.8951451451451451,0.8952855110749848,0.8951451451451451,0.8951038362305969
Gradient boosting,2,0.8681818181818182,0.8687823439878234,0.8695414782371303,0.8687823439878234,0.8684069000507356
Gradient boosting,3,0.8727272727272727,0.8731320052446813,0.8738839968201554,0.8731320052446813,0.8726823285646815
Gradient boosting,4,0.8954545454545455,0.8956646787632704,0.8955187505711995,0.8956646787632704,0.8954844985830901
Gradient boosting,5,0.8681818181818182,0.8677427427427428,0.8691031145641656,0.8677427427427428,0.8675953485819878
Gradient boosting,6,0.8818181818181818,0.8820070070070071,0.8823529910486432,0.8820070070070071,0.8816536815266743
Gradient boosting,7,0.9181818181818182,0.9184069000507357,0.9191766762189296,0.9184069000507357,0.9182011182512081
Gradient boosting,8,0.8863636363636364,0.8854037135727276,0.8913301816115116,0.8854037135727276,0.8864635972300207
Gradient boosting,9,0.8863636363636364,0.8864653385780147,0.8871839089230393,0.8864653385780147,0.8866334800065188
Gradient boosting,10,0.8727272727272727,0.8723723723723724,0.8746201855957954,0.8723723723723724,0.8721053944401175
Gradient boosting,11,0.85,0.8498498498498499,0.8532295580604758,0.8498498498498499,0.850623427133379
Gradient boosting,12,0.8954545454545455,0.8956925418569254,0.8961364921081403,0.8956925418569254,0.8954708132790324
Gradient boosting,13,0.9181818181818182,0.9181973522818593,0.9186840582064848,0.9181973522818593,0.9180948756976154
Gradient boosting,14,0.8954545454545455,0.8953542274669034,0.8953542274669034,0.8953542274669034,0.8953542274669034
Gradient boosting,15,0.8727272727272727,0.8728728728728727,0.8735194822151344,0.8728728728728727,0.8726724604434847
Gradient boosting,16,0.8954545454545455,0.8953953953953954,0.895322171486555,0.8953953953953954,0.8953314360792789
Gradient boosting,17,0.9136363636363637,0.9134703196347033,0.915535483431993,0.9134703196347033,0.9139318957583383
Gradient boosting,18,0.8727272727272727,0.872260711415641,0.8771090534979424,0.872260711415641,0.8734488231132526
Gradient boosting,19,0.8590909090909091,0.8590474982024278,0.8596286580240938,0.8590474982024278,0.858686609930789
Gradient boosting,20,0.8636363636363636,0.8638638638638638,0.8645627976613892,0.8638638638638638,0.8637113639557898
Gradient boosting,21,0.8681818181818182,0.8678678678678678,0.8689617219028984,0.8678678678678678,0.8679807627176048
Gradient boosting,22,0.8863636363636364,0.886798579401319,0.8864432385559146,0.886798579401319,0.8861897513952308
Gradient boosting,23,0.9045454545454545,0.9044935075920991,0.9052606153063819,0.9044935075920991,0.9047619047619048
Gradient boosting,24,0.9136363636363637,0.9136327877172947,0.9145127623388493,0.9136327877172947,0.9139571902729798
Multilayer perceptron,0,0.8727272727272727,0.8728728728728729,0.8742979242979243,0.8728728728728729,0.8728513444951801
Multilayer perceptron,1,0.8681818181818182,0.8678678678678678,0.871128871128871,0.8678678678678678,0.868420204569528
Multilayer perceptron,2,0.8545454545454545,0.8551420598680872,0.8553292651919655,0.8551420598680872,0.8544794794794796
Multilayer perceptron,3,0.8681818181818182,0.8682468383876835,0.8706804673088747,0.8682468383876835,0.8682217091048647
Multilayer perceptron,4,0.9045454545454545,0.9054950725373261,0.9059910024615906,0.9054950725373261,0.90467632098767
Multilayer perceptron,5,0.8909090909090909,0.8905155155155154,0.8920751633986929,0.8905155155155154,0.8905473521911879
Multilayer perceptron,6,0.8636363636363636,0.8643643643643643,0.8653798906701063,0.8643643643643643,0.8630892623897578
Multilayer perceptron,7,0.8954545454545455,0.8958777270421105,0.897196745022832,0.8958777270421105,0.8957508878741756
Multilayer perceptron,8,0.8545454545454545,0.854182633337563,0.8547619047619047,0.854182633337563,0.853938839319759
Multilayer perceptron,9,0.8818181818181818,0.8818305629573234,0.8873373837229259,0.8818305629573234,0.8829183478062138
Multilayer perceptron,10,0.8636363636363636,0.8629879879879879,0.8676411721672395,0.8629879879879879,0.8628983288684782
Multilayer perceptron,11,0.8590909090909091,0.8591091091091091,0.8605795108201955,0.8591091091091091,0.8593616843424002
Multilayer perceptron,12,0.8636363636363636,0.8640892947742262,0.8673373410215515,0.8640892947742262,0.8639932027278793
Multilayer perceptron,13,0.8954545454545455,0.8963659434081969,0.8975403143498673,0.8963659434081969,0.8952969072718687
Multilayer perceptron,14,0.8954545454545455,0.8959252209956435,0.8954091077378749,0.8959252209956435,0.8955812750155991
Multilayer perceptron,15,0.8636363636363636,0.8633633633633634,0.868304528662585,0.8633633633633634,0.8635455329466813
Multilayer perceptron,16,0.8545454545454545,0.8546046046046046,0.8563862340497149,0.8546046046046046,0.8546668486616492
Multilayer perceptron,17,0.9090909090909091,0.9089675291730086,0.9125213675213675,0.9089675291730086,0.9092779701876075
Multilayer perceptron,18,0.8909090909090909,0.891360656431079,0.8907936507936508,0.891360656431079,0.890629122272958
Multilayer perceptron,19,0.8454545454545455,0.8449029311001143,0.8504313263349408,0.8449029311001143,0.845716061253175
Multilayer perceptron,20,0.85,0.8502252252252253,0.853226529697118,0.8502252252252253,0.8507397538383454
Multilayer perceptron,21,0.8727272727272727,0.8729979979979979,0.8730118851245612,0.8729979979979979,0.8728122929433509
Multilayer perceptron,22,0.8954545454545455,0.8955657026889904,0.8965193313019398,0.8955657026889904,0.8956802640138353
Multilayer perceptron,23,0.8909090909090909,0.8915306856151927,0.8933342546526625,0.8915306856151927,0.8908843087852629
Multilayer perceptron,24,0.8772727272727273,0.8775163896290658,0.8779517286366602,0.8775163896290658,0.8775513571906414
